jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries,Source,Date,Company,Link
Field Sales Specialist (Chicago),Kin Euphorics,"Chicago, IL",,Be among the first 25 applicants,"About Kin Euphorics:  Kin believes in a night where social isn't sinful and self-care doesn't stop at sunset. It didn't exist at the bar, so we turned to ancient remedy and modern alchemy to create Euphorics: a non-alcoholic adult beverage made from nourishing nootropics, balancing adaptogens, and replenishing botanicals that open the mind, calm the body, and connect the spirit. The ingredients in our products help balance the body's response to stress and refill our pleasure tanks for a blissful night ahead. As we move from a mode of depletion (feeling less) to a mode of rising (feeling more), we can connect with others well into the night.  What we stand for:  True to our name, we're a team of people who started as strangers and wound up a family. We genuinely like working with each other and it helps that the work is rooted in a mission that is felt every day. The atmosphere we create and cultivate is collaborative and encouraging, even in the remote workplace. We're a multicultural team and we embrace diversity. We do not discriminate based on race, religion, sexual orientation, gender expression, or ability.  The role:  Kin Euphorics is seeking a Field Sales Specialist candidate who possesses the rare blend of marketing and story-telling expertise, yet is highly analytical and sales driven. This person will be a local expert in curating relationships, trade advocacy, brand building activations, and supporting our distributor partners. This position is a hybrid of sales, field marketing and distributor management, designed to establish Kin as the industry leader, while elevating Kin's presence throughout the market. Kin's Field Sales Specialist is our face of the brand throughout the territory. At the helm of sharing our passion, energy and expertise to all. A crucial part of how Kin shows up for our guests.  What you'll do: Develop relationships with key On & Off Premise partners, industry influencers and Distributor sales teams, while leveraging existing relationships. Drive new business in the On & Off Premise channels by focusing on increasing Points of Distribution, gaining menu placements, leading staff trainings and supporting our distributor sales teams. Design and implement market-specific distributor business plans and account programming. Lead ongoing communication with distribution partners and invest quality time building relationships with, and selling alongside their ASM and Sales reps. Drive sales with category specific trade programming, brand education and activations. Build a strategic account universe of essential On & Off Premise accounts gaining new distribution, menu placements while increasing visibility and overall footprint. Be the Market expert identifying leading opportunities to excel brand awareness, build brand loyalty & create new users. Plan, organize, manage logistics and execute on event opportunities with excellence. Effectively and accurately manage your defined budget, including sampling, event and account support spends. Provide Market reporting including weekly pre-plans, monthly sales recaps, wins, trainings and trade marketing events.  What you'll bring to Kin: 2-3 years of experience in relationship management and account development. A love of engaging with people in a sales and marketing environment. Ability to authentically share Kin's story while effectively communicating category education. Hospitality focused to ensure our accounts and partners always have the best possible Kin experience. Strong organization skills, Excel knowledge and extreme attention to detail.  You are: A self-starter who can identify opportunities quickly and act on them immediately. Down to work in a demanding, deadline-driven start-up environment, outside typical 9-5pm working hours. Looking to be part of a mission-driven company, fueling the next social movement. Excited to bring new ideas to a highly collaborative environment. A multitasker with the ability to juggle several projects at once. Seasoned in taking feedback gracefully and translating it into smart improvements and solutions. Interested to explore the world of Euphorics and sober curious living.",Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Online Media, and Internet",2021_10_09_09_30_Sales_dataFile,,,
Sales Engineer,PeopleScout,"Chicago, IL",,Be among the first 25 applicants,"As one of the world's top RPO providers, PeopleScout is dedicated to encouraging collaboration,  ownership and growth in all our employees, no matter where they are located. PeopleScout's teams are  distinctive and unique, and with so many diverse personalities and differing contributions, PeopleScout is proud to provide all employees with a common thread of positivity and achievement. Discover your  potential, learn from the best and be part of an authentic, confident culture when you work with  PeopleScout.  PeopleScout is renowned leader in the RPO industry. We are always looking for innovative and dedicated talent to join our team because, like our clients, we know that our success depends on the strength and expertise of our people. PeopleScout employs thousands of people across the globe in a wide variety of disciplines. We are looking for passionate, energetic people to help further our success in the global market.  This position can be located anywhere in the US except for the state of Colorado.  Primary Responsibilities  The Affinix Solutions Consultant will offer guidance and expertise on the Affinix product portfolio as well as educate customers on the Affinix technology value proposition across the globe. The Affinix Solution Consultant will drive business growth and adoption through customer and prospect solutioning and product demonstrations.  You will work with our product and technology team, internal stakeholders from sales and delivery, corporate marketing, and product launch to prepare a wide-array of story-telling resources. You will use a range of tactical and strategic skills including researching, developing, and solutioning related to technology as the product representative on new business and expansion/renewal pursuits. This position requires outstanding sales discovery skills to identify prospect pain points, strong technology solutioning expertise, and masterful live technology demonstrations and presentations.  Core Responsibilities  Assess business challenges for clients/prospects and offers technology solutions to meet needs. Supports new business and expansion growth in existing clients with technology. Uncovers key problems through sales discovery practices in partnership with sales and delivery. Listens, researches and presents technical solutions to clients to solve business challenges. Articulates the value proposition for new features and offerings. Partners with marketing to create story-telling assets in support of new features and offerings. Communicates product feedback to product and technology teams for roadmap consideration. Prepares and presents technology presentations including customized, live demonstrations. Creates scripted demos for analyst briefings and industry award submissions. Serves as the product representative for all client renewals and prospect pitches. Requirements Excellent communication, presentation, and technology solutioning skills. Demonstrated experience building and delivering tech solution demonstrations in a B2B setting. Ability to partner with internal stakeholders to achieve organizational sales and renewal goals. Strong persuasive skills and ability to articulate value-proposition and cost benefit for each client. Experience working in a team-oriented, diverse and collaborative environment. Ability to recognize and adapt to changing business priorities. Experience working in an organization with international operations is desirable. Ability to travel up to 15% of the time for prospect and client engagements. Qualifications  Candidate must have 1-3 years of experience in B2B technology consulting/solutioning, sales/solution engineering, and/or product marketing  Education  BS/BA Degree or higher preferred  PeopleScout is an equal opportunity employer, strengthened by the diversity of our workforce.  Veteran hiring efforts are core to our mission at PeopleScout, and we are proud to have placed more U.S. Military veterans in full-time employment than any other recruitment firm in the world.  PeopleScout provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. PeopleScout complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, placement, promotion, termination, layoff, recall and transfer, leaves of absence, compensation, and training.  PeoleScout expressly prohibits any form of unlawful employee harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of PeopleScout's employees to perform their expected job duties is not tolerated.",Entry level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Staffing and Recruiting",2021_10_09_09_30_Sales_dataFile,,,
Sales Lead,OAK + FORT,"Chicago, IL",4 weeks ago,Be among the first 25 applicants,"Since our inception in 2010, OAK+FORT has curated collections that reflect our design philosophies. OAK + FORT is a belief that fashion should be uncomplicated and thoughtfully designed. We are not distracted or fettered by trends. We will continue to provide attainable luxury to like-minded individuals.  This is a unique opportunity and ideal for an individual who is interested in working in a creative, high-paced environment.  Responsibilities  Sales Generation Provide exceptional client experience by executing OAK+FORT Sales Culture Build and manage client relationships through client database recording Be a brand ambassador by keeping up with new arrivals, product knowledge, and wearing current merchandise Provide industry knowledge through awareness of products and prices in the market Drive sales through OAK+FORT eCommerce purchases and social media platforms Maximize sales during special events and customer services Process cash desk operations with engagement, efficiency, and accuracy  Staff Development Source top candidates to build a high performing team Build our team by welcoming and supporting onboarding of new employees Build and maintain relationships with store team, peers, and relevant partners Support development of high performing staff to maximize productivity Provide timely feedback and active informal training to staff Inspire and motivate team through demonstrating leadership qualities Initiate and communicate team objectives and updates with Visual Merchandising Team and Management  Store Functionality Participate in execution of floor management as needed Utilize merchandising skillset through understanding of product density, adjacencies, and customer flow Promote brand aesthetic through ability to creatively merchandise Ensure the right quantity of stock is in the right place at the right time Maintain proper presentation of merchandise in accordance to corporate directives Efficiently and accurately support with shipping and receiving of merchandise Perform inventory counts upon corporate office direction Participate in stock room set-up and organization Support cleanliness and maintenance of physical store to create a safe and comfortable shopping experience Adhere to loss prevention policies to prevent external and internal theft  Powered by JazzHR  OcBE4AsCRC",Internship,Full-time,Sales and Business Development,"Apparel & Fashion, Consumer Goods, and Retail",2021_10_09_06_09_Sales_dataFile,,,
Sales Internship (Summer),Tom James Company,"Chicago, IL",2 weeks ago,Be among the first 25 applicants,"Tom James Company - Sales Internship Opportunity  SUMMER 2022 SALES INTERNSHIP REQUIREMENTS: Internship is 28 hours and will be completed Monday - Thursday 7:30 - 3:30 each day. 8 weeks long and can begin in June or July Internship is $15/hour plus Commission Candidates must be graduating by May 2023 and live, or have housing, in the area of the internship Candidates must have a desire for a career in sales in that same location upon graduation Candidates must be eligible to work in the US and not require sponsorship Visa status now or in the future. OUR OPPORTUNITY:  The goal of the Internship program is to provide you with a real life glimpse into our full-time role of a Sales Professional and also to enable you to eventually complete the Tom James sales cycle process with a prospect from initial interaction through final delivery.  The primary areas of focus for our internships will be: No previous industry knowledge is required; just a desire to sell and succeed Prospect clients: utilize our prospecting platforms including Zoom Info & LinkedIn Sales Navigator to find and reach out to potential clients Direct/Indirect Referral Concepts: generate referrals through current and potential clients to create warmer leads Phone Skills & Dials: 50+ dials/week, with a goal to set around 5 appointments/week Access to Technology including a Chromebook, prospecting platforms, communication platforms, and CRM Independently develop clientele: build your clientele throughout the summer, with those prospected being returned to you, providing you return as a full-time hire. Field knowledge: follow your mentor as they go on appointments, measure clients, and prospect directly in the field. Work with your mentor to sell people whom you've prospected and set appointments with. TRAINING:  Your first week is virtual, classroom training in the store that you were hired in. Additional training will continue on Tuesday and Thursdays throughout the remaining 7 weeks.  TOM JAMES:  Tom James Company has more than 50 years of direct selling expertise in the custom clothing industry. We have grown from a single store to stores throughout 4 continents and more than $500 million in sales.  Our sales force consists of highly motivated, service and sales minded professionals that strive for growth and leadership. By finding and developing long-term, loyal customers, our people build lifestyles to support their personal and professional goals. Our customers are highly successful, busy professionals who demand convenience, quality and excellent service in which we deliver to them.  We provide the training, opportunity and product to build a significant income through sales and leadership while establishing a strong net worth through our employee ownership and 401(k)/profit sharing programs.  We are vertically integrated which allows our Sales Professionals opportunities to grow their net worth and expand their careers.  Powered by JazzHR  H8Y74cu6zm",Internship,Internship,Sales and Business Development,"Insurance, Retail, and Financial Services",2021_10_09_06_09_Sales_dataFile,,,
Sales Associate,OAK + FORT,"Chicago, IL",4 weeks ago,Be among the first 25 applicants,"Since our inception in 2010, OAK+FORT has curated collections that reflect our design philosophies. OAK + FORT is a belief that fashion should be uncomplicated and thoughtfully designed. We are not distracted or fettered by trends. We will continue to provide attainable luxury to like-minded individuals.  As the Sales Associate, you will be responsible for:  Sales Generation Meet minimum sales requirements based on store volume Provide exemplary client experience by executing OAK+FORT Sales Culture Build client relationships through client follow-up Be a brand ambassador by keeping up with new arrivals, product knowledge, and wearing current merchandise Provide industry knowledge through awareness of products and prices in the market Drive sales through OAK+FORT eCommerce purchases and social media platforms Maximize sales during special events and customer services Process cash desk operations with engagement, efficiency, and accuracy  Staff Development Build our team by welcoming and supporting onboarding of new employees Build and maintain relationships with store team, peers, and relevant partners  Store Functionality Ensure the right quantity of stock is in the right place at the right time Maintain proper presentation of merchandise in accordance to corporate directives Efficiently and accurately support with shipping and receiving of merchandise Perform inventory counts upon corporate office direction as needed Participate in stock room organization Support cleanliness and maintenance of physical store to create a safe and comfortable shopping experience Adhere to loss prevention policies to prevent external and internal theft  Requirements Strong fashion and styling sense with the ability to incorporate new fashion trends Able to work well as part of a team in a dynamic environment Mandarin language proficiency considered an asset  Powered by JazzHR  OKZ5xgf24t",Internship,Part-time,Sales and Business Development,"Apparel & Fashion, Consumer Goods, and Retail",2021_10_09_06_09_Sales_dataFile,,,
Growth Marketing Intern (Remote)-Summer 2021 Start,Halo,"Chicago, IL",2 weeks ago,Be among the first 25 applicants,"We're currently in search of a Growth Marketing Intern to assist with all sales and marketing activities. You will be given more responsibility than a typical internship while gaining first-hand experience on the ground floor of a startup tackling a meaningful problem. See our reviews on Glassdoor.  3 month internship with potential for full-time employment  Salary based on experience  Qualifications Senior or recent graduate Professionally precocious with the ability and desire to skip a few rungs in your career advancement Prior internship or full-time work experience, preferably in sales or marketing Enthusiastic self-starter with an eagerness to learn and contribute Excellent writing skills Excellent project management and people skills with an appreciation for deadlines Interest in working for a startup Responsibilities Provide general assistance across all aspects of sales and marketing Become an in-house expert in Hubspot Marketing Hub, Sales Hub and Service Hub Assist in creating and presenting weekly analytics reports Write marketing emails and implement email automation campaigns Assist in sales prospecting and business development activities",Internship,Internship,Marketing and Sales,"Online Media, Computer Software, and Internet",2021_10_09_06_09_Sales_dataFile,,,
All Positions Available - Full Time Careers & Internships,"Millennium Recruiting, Inc.","Chicago, IL",,Be among the first 25 applicants,"All Positions Available! Full Time Careers & Internships  BRAND NEW DIVISION EXPANDED AND IS READY TO TAKE OVER  WE WILL BEGIN OUR INTERVIEW PROCESS IMMEDIATELY  GET YOUR RESUME IN NOW FOR ONE OF OUR OPEN POSITIONS. ENTRY LEVEL POSITIONS ADMINISTRATION & CUSTOMER SERVICE ROOKIE MANAGERS MARKETING AND SALES REPRESENTATIVE PR/ADVERTISING ASSISTANTS EVENT HOSTESS' EVENT COORDINATORS PROMOTIONS ASSISTANTS  COMPANY OVERVIEW:  WE ARE A BRAND NEW BRANCH AND AN EXTENSION OFF OF OUR HEAD QUARTERS.  THIS IS THE FIRST OF MANY MORE LOCATIONS TO COME.  OUR COMPANY PRIDES ITSELF ON OUR STAFF. WE ARE WILLING TO PROVIDE GUIDANCE, THE TOOLS, AND THE MOTIVATION TO OUR ENTRY LEVEL STAFF AND MANAGEMENT STAFF. OFFERING MANAGEMENT OPPORTUNITIES FROM THE GROUND UP.  OUR COMPANY ALSO PRIDES ITSELF ON OUR CLIENTS AND CUSTOMERS. WE HAVE A VERY LARGE CLIENT LIST TO ADVERTISE AND MARKET FOR, A LIST THAT CONTINUES TO GROW.  WE ARE GEARED TOWARDS INCREASING NAME BRAND AWARENESS FOR OUR POWERHOUSE CLIENTS, WHO ARE SOME OF THE MOST FAMOUS BRAND NAMES ON THE PLANET. WE TEST MARKET AND ADVERTISE OUR CLIENTS SERVICES AND PRODUCTS TO RETAIL, CORPORATE AND INDUSTRIAL BUSINESS'.  WE OFFER: UNPARALLELED WORK ENVIRONMENT UNLIMITED GROWTH FROM WITHIN STABILITY AND BENEFITS PAID TRAINING CONTINUED DEVELOPMENT BEYOND ENTRY LEVEL. WEEKLY PAY & BONUS' INCREASES IN PAY TRAVEL OPPORTUNITIES CAREER ADVANCEMENT  BECAUSE OF THE IMMEDIATE NATURE OF THE POSITION, ONLY LOCAL RESIDENTS WILL BE CONSIDERED.  REQUIREMENTS:  ALL APPLICANTS MUST BE LOCAL & AVAILABLE IMMEDIATELY  AND POSSESS THE FOLLOWING QUALITIES: FULL TIME AVAILABILITY TEAM PLAYER GREAT COMMUNICATION SKILLS ABILITY TO EXCEL IN UNSUPERVISED SOLO ASSIGNMENTS AND WELL AS TEAM ASSIGNMENTS AND PROJECTS. ENERGETIC PERSONALITY DEGREE IS NOT NECESSARY: AMBITION, LOYALTY, AND MOTIVATION IS.  Powered by JazzHR  f7c7XObPiI",Internship,Full-time,Other,Staffing and Recruiting,2021_10_09_06_09_Sales_dataFile,,,
Content Marketing Intern (Remote)-Summer 2021 Start,Halo,"Chicago, IL",2 weeks ago,Be among the first 25 applicants,"We're currently in search of a Content Marketing Intern to assist with all aspects of initiatives within sales and marketing. You will be given more responsibility than a typical internship while gaining first-hand experience on the ground floor of a startup tackling a meaningful problem. See our reviews on Glassdoor.  3 month internship with potential for full-time employment  Salary based on experience  Please submit a non-academic writing sample (blog post, article, email marketing, etc.) along with your resume.  Qualifications Senior or recent graduate Professionally precocious with the ability and desire to skip a few rungs in your career advancement Prior internship or full-time work experience, preferably in marketing Enthusiastic self-starter with an eagerness to learn and contribute Excellent writing skills Excellent project management and people skills with an appreciation for deadlines Interest in working for a startup Responsibilities Assist in the planning and execution of marketing campaigns including weekly newsletters, webinars, social media and other forms of content Develop and coordinate social media content that appeals to our follower communities and audience segments Manage social media accounts for Facebook, Twitter and Linkedin Write and edit short-form content including articles, blog posts, web copy, landing pages, customer stories and more Serve as editor of the blog and manage freelance writers",Internship,Internship,"Marketing, Public Relations, and Writing/Editing","Online Media, Computer Software, and Internet",2021_10_09_06_09_Sales_dataFile,,,
Medical Device Sales - Paid Internship,Medical Sales College,"Chicago, IL",3 weeks ago,Be among the first 25 applicants,"Looking for a lucrative career in the medical sales industry?  Orthopaedic surgical sales could be for you!  Average income more than $190,000  Recession Proof  Work alongside surgeons in the operating room  #1 Professional Sales Career  At Medical Sales College we offer 8 and 12-week courses in various orthopedic device specialties. We take inexperienced candidates and train them for a career in medical device sales. Our career development team works directly with top orthopedic device companies to assist graduates in getting hired. After attending one of our programs and working with our team of industry experts, your chances of getting hired increase significantly, as seen with our job placement rate of over 90%.  Benefits Of Medical Sales College  10+ Years of history with more than 2,000 Job Placements  Over 90% Success Rate of Job Placement  2,000+ Employers registered exclusively with MSC  Largest recruiter in medical sales  As an alternative to immediately attending one of our programs we are offering a 12-month internship to join our team!  Internship Overview  As critical members of the team, interns will start off by building phone skills and answering questions from prospective students while learning all about Medical Sales College. During phase two, interns will work alongside our industry experts to assist with building employer partnerships. This includes mapping hiring managers within assigned medical sales specialties. In the final months of the internship, interns will contribute to the promotion and growth of Medical Sales College by sourcing new sales opportunities through inbound lead follow-up and outbound phone calls, emails and texts.  Benefits Of The Paid Internship  Medical Sales College is the only industry recognized training program that will replace the required orthopaedic experience that employers demand for job consideration. During your time as an intern you will develop relationships with our internal industry experts and employers. This experience will drive your professional development and build a strong foundation in preparation for a career in medical device sales. You will be able to build your own network within the industry to accelerate your own career as a medical device representative. After successful completion of your internship, you will receive free tuition (value up to $16,000) and admittance into any one of our programs/campus locations. After completion of the internship and program, you will have the opportunity to enter the medical device industry anywhere in the U.S.  IS AN INTERNSHIP REQUIRED TO ATTEND MSC?  No. Our goal at MSC is to find the most dedicated non-experienced candidates interested in medical device sales who need training and assistance with job placement. In some instances a candidate may lack the necessary funding or professional experience required to attend Medical Sales College, and therefore would be a good fit for the internship.  Ideal Candidate  The internship is designed for those individuals with little to no prior work experience and who are seeking to grow professionally over a period of 12 months before entering the industry of medical device sales. The ideal candidate must have the ability to relocate to Tampa, FL for the duration of the internship.",Internship,Internship,Sales and Business Development,Higher Education,2021_10_09_06_09_Sales_dataFile,,,
Sales Intern - BidShore,1871,"Chicago, IL",1 month ago,Be among the first 25 applicants,"About Us  BidShore is a Chicago-based startup that is evolving with its unique and innovative business model - providing on-demand discounts through merchant bidding. (Reverse eBay). Initially, targeting the Restaurant market in the ChicagoLand area.  BidShore is looking for a creative and dynamic Sales Intern to be part of our Sales & Marketing division.  Duties and responsibilities Get trained on BidShore business model and sales pitch. Service existing accounts, obtains Special promotions, and establishes new accounts by planning and organizing daily work schedule by meeting various prospective customers Present, promote and sell products/services to existing and prospective customers. Work with customers to identify needs, create solutions and ensure a positive sales experience. Establish, develop and maintain positive business and customer relationships. Find new sales leads, through business directories, client referrals, social media, etc. Reach potential customers through cold calling. Recommends changes in products, service, and policy by evaluating results and competitive developments. Keeps management informed by submitting activity and results reports, such as daily call reports, weekly work plans Resolve customer complaints by investigating problems, developing solutions, and making recommendations to management. Meet or exceed agreed upon sales goals within schedule. Partner with team members and other departments to coordinate sales efforts. Analyze the market and sales trend, track sales and status reports. Maintain current product knowledge. Utilize various software systems to optimize efficiency and performance. Requirements Proven work experience as a sales representative or equivalent experience Outstanding customer service skills Own transportation and drivers license Excellent selling, communication and negotiation skills Knowledge of MS Office Experience preparing and delivering presentations Time management and organizational skills BS/BA degree or equivalent",Internship,Full-time,Sales,"Marketing and Advertising, Computer Software, and Internet",2021_10_09_06_09_Sales_dataFile,,,
Marketing Intern,"RJ Reliance, Inc.","Chicago, IL",1 month ago,Be among the first 25 applicants,"We are currently looking for an enthusiastic and talented Marketing Intern to join our marketing department and provide creative ideas to assist our growing team headquartered in Chicago, IL. As a marketing intern, you will collaborate with our marketing and sales team in all stages of marketing campaigns. You will have administrative duties in developing and implementing marketing strategies where your insightful contribution will help build, expand, and maintain our marketing channels.  This internship will help you acquire marketing skills and provide you with knowledge of various marketing strategies. Ultimately, you will gain broad marketing experience and be prepared to enter a fast-paced work environment.  Who We Are  RJ Reliance delivers highly specialized Human Capital Management (HCM) technology and services to enterprise-level clients in every industry vertical. Concentrating in the HR, payroll, and workforce management industry segments, our team enables clients, both domestically and internationally, to optimize their people, systems, and processes unlike any other vendor in the space. RJ Reliance is looking to build our team of experts, giving them the freedom to take leadership and develop professionally while working with a diverse array of clients, technologies, and services. The consultants and breakthrough technologies provided by RJ Reliance are known to be exceptional in the HCM technology space, and we have cultivated a team motivated to accelerate our expansion in the marketplace.  About The Role  The Marketing Intern will focus on the following key areas: Work with our marketing team to develop stories around our business solutions. Launch marketing campaigns that we have on our short-term roadmap. Help to optimize our brand and generate visibility in the market. Develop engaging collateral for our key demographic with our graphic design team (explainer videos, etc.). What You'll Do  Core duties and responsibilities may include, but are not limited to the following: Take leadership for developing, presenting, and implementing a sales and marketing initiative for multiple projects, including: Collect quantitative and qualitative data from marketing campaigns. Perform marketing analysis and research on competition. Support the marketing team in administrative tasks. Assist in marketing and advertising promotional activities via social media. Prepare promotional presentations. Help distribute marketing materials. Manage and update company database and customer relationship management systems (CRM). Help organize events. Types of software development and business technology project descriptions may include: Generate complex and rule-driven data models using a leading data analytics software vendor. Build data visualizations to help business users identify actionable data for business problems using a leading data analytics software vendor Transform, verify, and transfer data between enterprise systems using a leading Integration Platform as a Service (IPaaS) software vendor. Automate business processes using a leading Robotic Process Automation (RPA) vendor. Build a 'full-stack' demo that combines the data model, analytics, IPaaS, and process automation. Our Ideal Candidate  Education And Experience. Required: Active student pursuing a bachelor's degree. Dependable, great attitude, and a team player. Excellent and creative problem-solving and analytical skills. Preferred: Current sophomore or junior preferred in Marketing, or related field. Open to other majors as well. Successful completion of introductory courses in marketing, business, or equivalent. Preference to candidates with experience or interest in (direct experience not required): Creative problem solving, client-facing communications. Advanced MS Office Suite (Excel, PowerPoint, Visio, Project, etc.). Business Development (Sales/Marketing). Exposure to or interest in B2B marketing.  Abilities And Skills. Required: Excellent interpersonal and communication skills. Ability to prioritize and multitask in a fast-paced, deadline-driven environment. Applied understanding of basic marketing principles. Familiarity with major social media platforms (Facebook, Twitter, LinkedIn, etc.). Self-starter with the ability to work independently. Work as part of a team, providing direction to and receiving direction from others. Creative problem-solving skills. Preferred: Understanding of SEO techniques and best practices. Basic photography, image editing, and graphic design skills.  Company Offers Competitive compensation. Diverse and rewarding experience with our team. Accountabilities and responsibilities to rapidly grow your experience. Exposure to cutting-edge and market-leading technologies. Opportunities and support for professional and technical development. Flexible scheduling for work-life balance.  We are an Equal Opportunity Employer!",Internship,Internship,Marketing and Sales,Information Technology and Services,2021_10_09_06_09_Sales_dataFile,,,
Business Development Representative - North America - Midwest,H2O.ai,"Chicago, IL",3 weeks ago,Be among the first 25 applicants,"H2O.ai is the open-source leader in AI with a mission to democratize AI for everyone. H2O.ai is transforming the use of AI with software with its category-creating visionary open-source machine learning platform, H2O. More than 18,000 companies use open-source H2O in mission-critical use cases for Finance, Insurance, Healthcare, Retail, Telco, Sales and Marketing. H2O Driverless AI uses ""AI to do AI"" in order to provide an easier, faster and cost-effective means of implementing data science. H2O.ai partners with leading technology companies such as NVIDIA, IBM, AWS, Intel, Microsoft Azure and Google Cloud Platform and is proud of its growing customer base which includes Capital One, Progressive Insurance, Comcast, Walgreens and MarketAxess. For more information and to learn more about how H2O.ai is driving an AI Transformation, visit .A  Are you a top performer at your current or previous company? Are you a self-starter that can talk to anyone? If so, read on.  H2O.ai is looking for exceptional candidates join our North America BDR team. This role will cover our Midwest region. As an H2O.ai Business Development Representative (BDR) you will be finding, engaging, and qualifying prospects to drive continued sales growth.  This role is based in the Midwest - US.  What You Will Do: Professionally and persistently follow up with inbound leads and outbound cold calls, emails, and LinkedIn Identify target prospects and perform analysis through a variety of online research methods Set up introductory calls with target influencers and decision makers; your job is to make sure a majority of these calls become qualified opportunities for our Account Executives Develop creative tactics and strategies to reach prospects Understand the latest industry trends Dedication to continuous learning Record and track activity in Salesforce.com  What You Bring: Proven industry-related inside sales experience Previous experience in cold calling sales pitches and prospect research Track record of over-achieving quota Experience working with Zoom, Salesforce.com, Outreach.io, ZoomInfo or similar tools Comfort-level with making a minimum of 50 targeted calls per day Excellent verbal and written communications skills Strong listening and presentation skills Ability to multi-task, prioritize, and manage ambiguity Effective time-management skills Able to effectively work remotely BA/BS degree or equivalent  Powered by JazzHR  XZPExdaIXN",Mid-Senior level,Full-time,Sales and Business Development,"Information Technology and Services, Computer Software, and Internet",2021_10_09_14_59_Sales_dataFile,,,
Dermatology Sales Consultant,GSI,"Chicago, IL",3 weeks ago,37 applicants,"New launches and new way of doing business!  A trailblazing fast growing Dermatology speciality company is hiring a Pharmaceutical Sales Consultant in the selling RX Dermatological products, adding value for physician practices while improving patient outcomes and access.  Compensation: $85-100K Base; OTE $ 200K /Uncapped /750 Car Allowance /Benefits / Expense account / 2 week training (now virtual due to Covid)  Requirements: Bachelor's Degree Direct sales experience within Dermatology and or Business to Business Sales combined with RX Dermatology or B2B Aesthetics, or Capital Dermatology Sales experience A desire to be part of a fast-growing team with a collective vision to shake up industry to make medication more affordable and better health care for all! A Valid Driver's license",Mid-Senior level,Full-time,Sales and Business Development,Pharmaceuticals and Medical Devices,2021_10_09_14_59_Sales_dataFile,,,
Account Executive,Ad Atlantic,"Chicago, IL",2 weeks ago,Be among the first 25 applicants,"This fast-growing, venture-backed organization is looking to bring an experienced Account Executive to their growing sales team. This progressive, fast-paced organization is a worldwide leader in GRC software for a multitude of verticals.  You will be supported by the Lead Generation team to develop and deliver on your plan to identify and create relationships with decision makers and key stakeholders. You will streamline sale cycles while pushing forward a hyper-growth focused team. This organization is looking for an energetic self-starter with a passion for fast-paced sales and a startup mentality.  Main Responsibilities: Identify and grow new business Manage the sales process while growing relationships with key clients Build strong partnerships with internal teams to create and deliver demonstrations, presentation and proposals Close deals and lead prospects through the onboarding processes including case development, regulatory and due diligence.  Work Requirements: 1+ years of SaaS Sales experience, with an emphasis on SMB Sales Experience selling to banks and credit unions Proven track record of hitting and exceeding quota Excellent communication skills Comfort with negotiating , structuring and executing agreements Ability to travel up to 30%",Mid-Senior level,Full-time,Sales and Business Development,Information Technology and Services and Financial Services,2021_10_09_14_59_Sales_dataFile,,,
"Manager, APAC Business Development",endpoint Clinical,China,2 weeks ago,Be among the first 25 applicants,"Position Overview  The Manager, APAC Business Development will primarily focus on identifying, developing and winning APAC new business opportunities. This position will be based remotely in China. Responsibilities Responsible for selling clinical trials software (IVR/IWR) to pharmaceutical and biotech companies Achieving company sales goals Establish and maintain client relationships while prospecting for new opportunities Educate customers on the value of a new software platform Maintain accurate records and log all activities in our sales force automation system Communicate weekly activities and coordinate sales pipeline with sales leadership Prepare and deliver presentations to clients about the endpoint platform Generate quotes and proposals using available templates Participate in various trade shows and conferences Assist in the creation of new sales plans and strategies. Education  Qualifications: Bachelor's degree and/or equivalent experience Experience 3-5 years IVR/IWR or pharmaceutical services related sales experience Proven track record of success in Business to Business Software sales Ability to understand and communicate technical concepts Proven ability to work independently as well as in a sales team environment. Organized with methodical approach for prospecting Excellent oral and written communication skills Skills Strong phone presence and experience Excellent verbal and written communication skills Strong attention to detail, organizational and time management skills Good communication skills Attentive listening skills endpoint is an equal opportunities employer AA/M/F/Veteran/Disability.  Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",Associate,Full-time,Business Development and Sales,"Information Technology and Services, Computer Software, and Financial Services",2021_10_10_07_00_Sales_dataFile,,,
